NO,FROMNODENO,TONODENO,ID,DXD,FLAG,TJL,FS,TRAFFIC,flag
10738,904,1108,12156.0,0,0,4,46.1,"B,C,W",1
10737,8307,1350,12155.0,0,0,4,51.4,"B,C,W",0
10547,8232,3800,11957.0,0,0,4,45.0,"B,C,W",0
10546,8231,8232,11956.0,0,0,5,44.6,"B,C,W",0
10545,7666,7665,11955.0,0,0,5,43.8,"B,C,W",1
10543,5837,3809,11953.0,0,0,3,58.1,"B,C,W",0
10538,7773,8229,11948.0,0,0,4,52.5,"B,C,W",1
10170,8050,8049,9163.0,0,6,3,64.0,"B,C,W",1
10169,3287,8050,9162.0,0,10,3,62.4,"B,C,W",1
9954,3236,2435,11893.0,0,0,4,54.1,"B,C,W",1
9842,7057,7038,13034.0,0,0,4,53.4,"B,C,W",0
9733,7762,7773,11670.0,0,0,4,51.1,"B,C,W",1
9732,7762,4133,11669.0,0,0,4,54.4,"B,C,W",1
9731,4133,3819,11668.0,0,0,4,52.0,"B,C,W",1
9730,7760,5838,11667.0,0,0,5,37.9,"B,C,W",0
9719,7764,7755,11656.0,0,0,5,42.3,"B,C,W",0
9718,7760,7764,11655.0,0,0,5,38.6,"B,C,W",0
9716,7759,7761,11653.0,0,0,5,42.45,"B,C,W",0
9715,7761,7762,11652.0,0,0,5,34.9,"B,C,W",1
9714,4136,7761,11651.0,0,0,5,40.1,"B,C,W",1
9713,7759,7760,11649.0,0,0,5,36.1,"B,C,W",0
9712,7757,7758,11647.0,0,0,5,31.0,"B,C,W",0
9516,3816,3814,11448.0,0,0,4,49.1,"B,C,W",1
9514,4129,3814,11446.0,0,0,4,46.8,"B,C,W",1
9513,4131,3822,11445.0,0,0,4,51.3,"B,C,W",1
9512,3821,7669,11444.0,0,0,4,54.1,"B,C,W",1
9511,7669,3816,11443.0,0,0,4,48.4,"B,C,W",1
9510,7672,3815,11442.0,0,0,5,43.9,"B,C,W",1
9509,3820,3817,11441.0,0,0,4,54.6,"B,C,W",1
9508,3818,7662,11440.0,0,0,4,50.7,"B,C,W",1
9507,7662,7672,11439.0,0,0,4,47.4,"B,C,W",1
9506,7659,7672,11438.0,0,0,5,39.4,"B,C,W",1
9505,3817,7671,11437.0,0,0,4,47.3,"B,C,W",1
9504,7671,7663,11436.0,0,0,4,51.6,"B,C,W",1
9503,7663,7661,11435.0,0,0,4,54.6,"B,C,W",1
9502,7661,7659,11434.0,0,0,4,49.3,"B,C,W",1
9501,4125,7670,11433.0,0,0,2,88.4,"B,C,W",1
9500,3815,7668,11432.0,0,0,5,39.1,"B,C,W",1
9499,7662,7668,11431.0,0,0,5,43.0,"B,C,W",1
9498,3818,7667,11430.0,0,0,5,39.4,"B,C,W",1
9497,7667,3821,11429.0,0,0,5,42.2,"B,C,W",1
9496,7668,7669,11428.0,0,0,5,44.2,"B,C,W",1
9495,7669,7666,11427.0,0,0,5,41.4,"B,C,W",1
9494,3821,7664,11426.0,0,0,4,48.1,"B,C,W",1
9493,7668,7667,11425.0,0,0,5,39.6,"B,C,W",1
9492,7667,3820,11424.0,0,0,5,44.8,"B,C,W",1
9491,3814,7666,11423.0,0,0,4,48.0,"B,C,W",1
9490,7665,7664,11422.0,0,0,5,44.7,"B,C,W",1
9489,7664,3822,11421.0,0,0,4,48.2,"B,C,W",1
9488,7663,3818,11420.0,0,0,5,39.1,"B,C,W",1
9487,7661,7662,11419.0,0,0,4,47.5,"B,C,W",1
9486,7659,7660,11418.0,0,0,4,53.8,"B,C,W",1
9242,7534,2726,11170.0,0,0,5,38.0,"B,C,W",0
9241,7523,7534,11169.0,0,0,5,33.3,"B,C,W",0
9237,7522,1701,11165.0,0,0,5,42.7,"B,C,W",0
9236,3403,2725,11164.0,0,0,4,46.5,"B,C,W",1
9235,2726,7519,11163.0,0,0,4,50.8,"B,C,W",1
9234,7519,7532,11162.0,0,0,4,53.9,"B,C,W",1
9233,7532,2825,11161.0,0,0,4,52.7,"B,C,W",1
9232,4521,5947,11160.0,0,0,3,55.05,"B,C,W",0
9228,835,56,11156.0,0,0,5,40.3,"B,C,W",0
9225,7529,7528,11153.0,0,0,5,30.0,"B,C,W",0
9224,7528,835,11152.0,0,0,5,38.0,"B,C,W",0
9223,7527,296,11151.0,0,0,4,54.1,"B,C,W",0
9220,7525,7516,11148.0,0,0,5,30.0,"B,C,W",1
9219,7525,7521,11147.0,0,0,5,30.0,"B,C,W",1
9217,7523,2725,11145.0,0,0,5,30.0,"B,C,W",0
9216,7512,7523,11144.0,0,0,5,32.35,"B,C,W",0
9215,7522,7520,11143.0,0,0,4,45.8,"B,C,W",0
9214,7520,7521,11141.0,0,0,5,38.0,"B,C,W",0
9213,7519,7516,11140.0,0,0,5,39.0,"B,C,W",1
9211,7516,7517,11137.0,0,0,5,30.0,"B,C,W",1
9206,7498,2417,11132.0,0,0,3,55.0,"B,C,W",1
9186,7499,7500,11112.0,0,0,5,30.85,"B,C,W",1
9185,7498,7499,11111.0,0,0,5,33.4,"B,C,W",1
9142,2189,5108,11066.0,0,0,5,40.8,"B,C,W",1
9140,4334,5106,11064.0,0,0,5,44.3,"B,C,W",1
9139,1598,1600,11063.0,0,0,5,41.25,"B,C,W",0
9138,1951,2936,11062.0,0,0,5,44.2,"B,C,W",1
9137,2025,716,11061.0,0,0,5,34.0,"B,C,W",1
9136,2140,2756,11060.0,0,0,5,39.4,"B,C,W",1
9135,2756,2757,11059.0,0,0,5,44.6,"B,C,W",1
9134,7266,2758,11058.0,0,0,5,32.9,"B,C,W",1
9133,2756,7266,11057.0,0,0,5,34.35,"B,C,W",1
9132,1207,715,11056.0,0,0,5,31.8,"B,C,W",1
9131,7460,2418,11055.0,0,0,5,39.0,"B,C,W",1
9130,2436,7460,11054.0,0,0,4,50.8,"B,C,W",1
9129,2402,7472,11053.0,0,0,5,43.8,"B,C,W",1
9128,2416,2418,11052.0,0,0,5,35.0,"B,C,W",0
9127,2419,2435,11051.0,0,0,5,35.6,"B,C,W",1
9126,714,2435,11050.0,0,0,5,30.0,"B,C,W",1
9125,7469,713,11049.0,0,0,5,32.4,"B,C,W",1
9124,7463,7469,11048.0,0,0,5,30.55,"B,C,W",1
9123,1207,7463,11047.0,0,0,5,30.0,"B,C,W",1
9122,2436,7472,11046.0,0,0,5,41.0,"B,C,W",1
9121,7472,2223,11045.0,0,0,5,31.4,"B,C,W",1
9120,2224,7466,11044.0,0,0,5,33.95,"B,C,W",1
9119,7466,7470,11043.0,0,0,5,34.3,"B,C,W",1
9118,7470,1206,11042.0,0,0,5,34.45,"B,C,W",1
9117,7471,2304,11041.0,0,0,5,35.05,"B,C,W",1
9116,7463,7471,11040.0,0,0,5,33.5,"B,C,W",1
9115,2303,2304,11039.0,0,0,5,38.0,"B,C,W",1
9114,7468,7462,11038.0,0,0,5,32.25,"B,C,W",1
9113,7470,7468,11037.0,0,0,5,32.9,"B,C,W",1
9112,2402,7459,11036.0,0,0,3,63.4,"B,C,W",1
9111,7458,7469,11035.0,0,0,5,41.9,"B,C,W",1
9110,7461,7465,11034.0,0,0,4,53.8,"B,C,W",1
9109,7467,7461,11033.0,0,0,5,41.3,"B,C,W",1
9108,7468,7467,11032.0,0,0,5,39.3,"B,C,W",1
9107,7466,7467,11031.0,0,0,4,46.6,"B,C,W",1
9106,7464,7457,11030.0,0,0,4,50.7,"B,C,W",1
9105,7459,7460,11029.0,0,0,3,55.5,"B,C,W",1
9104,7464,7465,12481.0,0,0,4,48.9,"B,C,W",1
9103,714,7464,11027.0,0,0,4,52.9,"B,C,W",1
9102,7462,7463,11026.0,0,0,5,30.0,"B,C,W",1
9101,7461,7457,12482.0,0,0,5,30.0,"B,C,W",1
9100,7460,2419,11024.0,0,0,4,47.8,"B,C,W",1
9099,2401,7459,11023.0,0,0,3,58.5,"B,C,W",1
9098,7457,7458,12483.0,0,0,4,50.2,"B,C,W",1
9097,7457,713,11021.0,0,0,5,30.0,"B,C,W",1
8655,7275,1142,10554.0,0,0,4,50.6,"B,C,W",1
8654,2207,1337,10553.0,0,0,5,41.6,"B,C,W",1
8653,5116,2208,10552.0,0,0,4,48.8,"B,C,W",1
8652,1920,7274,10551.0,0,0,5,31.5,"B,C,W",1
8651,7271,1920,10550.0,0,0,4,45.0,"B,C,W",1
8650,2896,7271,10549.0,0,0,3,61.5,"B,C,W",1
8649,2791,1319,10548.0,0,0,5,44.65,"B,C,W",1
8648,4874,4873,10547.0,0,0,5,34.6,"B,C,W",1
8645,2520,2522,10544.0,0,0,5,39.6,"B,C,W",0
8644,2149,118,10543.0,0,0,5,40.6,"B,C,W",1
8643,2521,119,10542.0,0,0,5,35.45,"B,C,W",0
8642,1600,2936,10541.0,0,0,4,46.1,"B,C,W",0
8641,7273,1562,10540.0,0,0,4,45.4,"B,C,W",1
8639,7272,7273,10538.0,0,0,4,45.1,"B,C,W",1
8638,2025,2140,10537.0,0,0,5,44.8,"B,C,W",1
8637,7265,7269,10536.0,0,0,5,36.7,"B,C,W",0
8636,7268,2975,10535.0,0,0,4,54.0,"B,C,W",0
8635,2521,7270,10534.0,0,0,5,34.5,"B,C,W",0
8634,7271,2149,10533.0,0,0,4,54.2,"B,C,W",1
8633,2522,7270,10532.0,0,0,3,62.2,"B,C,W",1
8632,7270,2149,10531.0,0,0,4,55.8,"B,C,W",1
8631,7269,1206,10530.0,0,0,5,35.0,"B,C,W",0
8630,7265,2757,10529.0,0,0,5,44.2,"B,C,W",0
8629,7265,7267,10528.0,0,0,5,44.7,"B,C,W",0
8628,1219,5116,10527.0,0,0,4,46.3,"B,C,W",1
8627,2758,715,10526.0,0,0,5,30.0,"B,C,W",1
8626,7267,7268,10525.0,0,0,5,44.1,"B,C,W",0
8625,7265,7266,10524.0,0,0,5,34.0,"B,C,W",0
8624,4873,2791,10523.0,0,0,5,44.2,"B,C,W",1
8623,2207,5116,10522.0,0,0,5,35.6,"B,C,W",1
8597,7259,5107,10496.0,0,0,5,39.6,"B,C,W",1
8596,5113,7259,10495.0,0,0,3,56.2,"B,C,W",1
8595,7259,7257,10494.0,0,0,3,61.2,"B,C,W",1
8590,2189,5109,10486.0,0,0,5,34.9,"B,C,W",1
8588,5109,5106,10484.0,0,0,5,37.7,"B,C,W",1
8586,7257,7255,10482.0,0,0,4,48.0,"B,C,W",1
8585,7255,7256,10480.0,0,0,4,45.2,"B,C,W",1
8323,5961,7128,9018.0,0,0,5,31.9,"B,C,W",0
8241,2520,926,8908.0,0,0,5,44.0,"B,C,W",0
8201,7040,4371,8844.0,0,0,4,54.2,"B,C,W",1
8171,7038,7040,980.0,0,0,4,54.0,"B,C,W",1
7270,1446,1280,7780.0,0,1,1,81.9,"B,C,W",1
7269,6014,1188,7779.0,0,1,1,89.1,"B,C,W",1
7203,4573,2561,7707.0,0,1,1,93.2,"B,C,W",1
7201,3807,3808,7705.0,0,0,4,54.0,"B,C,W",1
7200,2852,5957,7704.0,0,0,5,44.4,"B,C,W",1
7199,5188,3812,7703.0,0,0,4,45.5,"B,C,W",1
7198,5193,5189,6481.0,0,0,4,45.4,"B,C,W",0
7063,3831,4135,7558.0,0,0,4,46.9,"B,C,W",1
6898,1108,5733,10160.0,0,0,5,41.9,"B,C,W",1
6879,2853,5188,7351.0,0,0,5,39.1,"B,C,W",1
6825,165,2454,7294.0,0,0,5,39.95,"B,C,W",1
6813,3931,3932,7142.0,0,0,5,41.4,"B,C,W",1
6155,5188,5189,6479.0,0,0,5,40.9,"B,C,W",1
6067,2208,1220,6390.0,0,0,4,46.0,"B,C,W",1
6066,1336,5116,10090.0,0,0,4,53.8,"B,C,W",1
6065,1144,1142,6388.0,0,0,5,41.2,"B,C,W",1
6064,3931,5115,6387.0,0,0,5,44.2,"B,C,W",1
6063,1220,5115,6386.0,0,0,4,48.7,"B,C,W",1
6062,1144,5115,6385.0,0,0,5,44.1,"B,C,W",1
6061,5114,3930,6384.0,0,0,4,46.2,"B,C,W",1
6060,5108,5113,6383.0,0,0,5,40.45,"B,C,W",1
6059,5113,5114,6382.0,0,0,5,44.5,"B,C,W",1
6058,5112,5113,6381.0,0,0,4,46.1,"B,C,W",1
6057,5112,3930,6380.0,0,0,3,55.3,"B,C,W",1
6056,5110,5112,6379.0,0,0,5,34.1,"B,C,W",1
6055,5111,5110,6378.0,0,0,5,35.7,"B,C,W",1
6054,5108,5110,6377.0,0,0,5,43.6,"B,C,W",1
6053,2173,4334,6376.0,0,0,4,45.1,"B,C,W",1
6050,5106,5107,10088.0,0,0,5,38.6,"B,C,W",1
5813,1407,1561,6129.0,0,0,5,42.1,"B,C,W",1
5800,1220,1561,6106.0,0,0,5,34.2,"B,C,W",1
5799,4875,4874,10033.0,0,0,5,42.4,"B,C,W",1
5798,4874,1319,7282.0,0,0,5,39.0,"B,C,W",1
5797,2148,2896,7281.0,0,0,5,44.8,"B,C,W",1
5796,4873,2896,10032.0,0,0,5,44.0,"B,C,W",1
5597,1611,1615,5901.0,0,0,5,42.7,"B,C,W",1
5596,4722,1615,5900.0,0,0,4,46.5,"B,C,W",1
5595,4722,3685,5899.0,0,0,3,61.7,"B,C,W",1
5594,589,4722,5898.0,0,0,3,59.9,"B,C,W",1
5330,4574,4573,5618.0,0,1,1,100.6,"B,C,W",1
5329,4570,4576,5617.0,0,1,1,93.9,"B,C,W",1
5328,4576,4574,5616.0,0,1,1,91.8,"B,C,W",1
5327,4568,4575,5615.0,0,0,2,72.7,"B,C,W",1
5326,4575,4242,5614.0,0,0,2,74.2,"B,C,W",1
5316,2759,4570,5604.0,0,1,1,86.4,"B,C,W",1
5246,54,4521,9994.0,0,0,3,57.2,"B,C,W",0
5207,4475,3801,7706.0,0,0,3,58.1,"B,C,W",0
5192,4371,4450,5475.0,0,0,2,66.2,"B,C,W",1
5039,1019,1665,5314.0,0,0,4,45.2,"B,C,W",1
5038,4334,1019,5313.0,0,0,5,37.9,"B,C,W",1
4982,2264,2479,5249.0,0,0,5,42.4,"B,C,W",0
4981,2479,2263,5248.0,0,0,4,53.7,"B,C,W",1
4979,1506,3286,5246.0,0,0,3,60.4,"B,C,W",1
4948,4300,785,5215.0,0,0,4,45.05,"B,C,W",1
4940,1271,924,5204.0,0,0,3,63.4,"B,C,W",1
4938,1190,1845,5202.0,0,0,3,63.4,"B,C,W",1
4919,1702,4289,5183.0,0,1,1,83.2,"B,C,W",1
4832,4242,4124,5091.0,0,0,2,70.5,"B,C,W",1
4738,4135,4136,9943.0,0,0,4,53.25,"B,C,W",1
4736,3824,3831,4995.0,0,0,4,45.9,"B,C,W",1
4735,3831,4133,9942.0,0,0,4,54.3,"B,C,W",1
4734,4132,3824,4993.0,0,0,4,54.5,"B,C,W",1
4733,4132,3810,4992.0,0,0,4,48.7,"B,C,W",1
4732,4131,4132,4991.0,0,0,4,54.0,"B,C,W",1
4731,3810,3808,4990.0,0,0,3,56.8,"B,C,W",1
4730,4130,4125,4989.0,0,0,2,79.4,"B,C,W",1
4729,3805,4130,4988.0,0,0,2,67.7,"B,C,W",1
4721,4123,4124,4980.0,0,0,3,60.5,"B,C,W",1
4720,3816,4122,4979.0,0,0,4,54.35,"B,C,W",1
4719,4122,4123,4978.0,0,0,3,56.3,"B,C,W",1
4505,2519,3932,4753.0,0,0,4,45.75,"B,C,W",1
4504,3930,3931,7214.0,0,0,4,50.9,"B,C,W",1
4422,3830,3831,4668.0,0,0,3,57.8,"B,C,W",0
4416,3824,3825,4662.0,0,0,2,69.3,"B,C,W",1
4415,3811,3823,4661.0,0,0,3,63.3,"B,C,W",1
4414,3822,3819,9899.0,0,0,4,51.8,"B,C,W",1
4413,3819,3821,9898.0,0,0,4,52.2,"B,C,W",1
4412,3819,3820,9897.0,0,0,4,53.1,"B,C,W",1
4411,3817,3818,9896.0,0,0,4,49.3,"B,C,W",1
4410,3815,3816,9895.0,0,0,5,38.0,"B,C,W",1
4409,3814,3811,9894.0,0,0,4,45.7,"B,C,W",1
4408,3805,3811,4654.0,0,0,4,51.8,"B,C,W",1
4407,3813,3805,4653.0,0,0,4,48.8,"B,C,W",1
4406,2852,3813,4652.0,0,0,4,51.3,"B,C,W",1
4405,3812,3813,4651.0,0,0,5,42.9,"B,C,W",1
4404,3811,3808,4650.0,0,0,5,43.3,"B,C,W",1
4403,3809,3810,7557.0,0,0,3,60.0,"B,C,W",0
4402,3808,3804,4648.0,0,0,4,52.05,"B,C,W",1
4401,3806,3807,4647.0,0,0,4,50.5,"B,C,W",1
4400,3804,2852,4646.0,0,0,4,45.0,"B,C,W",1
4399,3804,3805,4645.0,0,0,4,45.6,"B,C,W",1
4398,3803,3804,4644.0,0,0,3,59.9,"B,C,W",1
4397,2853,2760,4643.0,0,0,4,48.8,"B,C,W",1
4396,3802,2853,4642.0,0,0,4,48.8,"B,C,W",0
4395,3800,3801,9893.0,0,0,3,55.7,"B,C,W",0
4387,1189,2196,4633.0,0,1,1,81.9,"B,C,W",1
4264,654,3684,4499.0,0,1,1,90.6,"B,C,W",1
4180,3613,3614,4413.0,0,0,5,35.4,"B,C,W",0
4064,3548,3269,4287.0,0,0,4,53.45,"B,C,W",1
3981,3403,3001,4200.0,0,0,5,39.9,"B,C,W",1
3596,3286,3287,3795.0,0,0,2,66.6,"B,C,W",1
3548,3212,3236,9829.0,0,0,4,53.3,"B,C,W",0
3342,3002,3003,9817.0,0,0,3,55.5,"B,C,W",1
3341,3001,3002,3522.0,0,0,3,50.1,"B,C,W",1
3340,2417,3000,9816.0,0,0,3,57.1,"B,C,W",1
3302,2198,2197,3483.0,0,1,1,68.4,"B,C,W",1
3299,2197,652,3480.0,0,1,1,66.3,"B,C,W",1
3298,2198,1702,3479.0,0,1,1,80.9,"B,C,W",1
3297,2976,2844,9810.0,0,0,4,54.0,"B,C,W",1
3296,1272,2975,3477.0,0,0,5,36.8,"B,C,W",1
3294,1953,2172,3475.0,0,0,5,40.85,"B,C,W",1
3293,1338,2975,3474.0,0,0,4,45.6,"B,C,W",1
3261,470,2264,3435.0,0,0,3,58.3,"B,C,W",0
3258,759,1143,3432.0,0,0,5,41.85,"B,C,W",1
3179,2936,1952,9801.0,0,0,5,44.4,"B,C,W",1
3178,1665,2188,3343.0,0,0,4,45.55,"B,C,W",1
3159,2927,2759,3315.0,0,1,1,86.6,"B,C,W",1
3158,2762,2927,3314.0,0,1,1,89.3,"B,C,W",1
3157,2926,2762,3313.0,0,1,1,89.6,"B,C,W",0
3097,2896,2897,15040.0,0,0,4,47.8,"B,C,W",1
3071,2515,2118,3216.0,0,0,4,49.2,"B,C,W",1
3059,2504,2146,3203.0,0,0,5,33.8,"B,C,W",1
3058,2504,936,3202.0,0,0,5,32.0,"B,C,W",1
3047,1953,1601,3191.0,0,0,5,36.35,"B,C,W",1
3046,1953,758,3190.0,0,0,5,37.1,"B,C,W",1
3017,2852,2853,3158.0,0,0,4,53.9,"B,C,W",1
2991,2844,2514,3130.0,0,0,5,36.0,"B,C,W",1
2990,2844,2118,3129.0,0,0,4,45.3,"B,C,W",1
2917,1701,2825,3051.0,0,0,4,50.1,"B,C,W",1
2895,1601,2190,3028.0,0,0,5,33.3,"B,C,W",1
2830,2790,2791,9781.0,0,0,5,40.2,"B,C,W",1
2784,2763,2697,2911.0,0,0,5,37.95,"B,C,W",1
2783,2697,120,2910.0,0,0,5,39.45,"B,C,W",1
2782,2697,590,2909.0,0,0,5,44.4,"B,C,W",1
2778,2760,2761,2905.0,0,0,3,57.4,"B,C,W",1
2775,2758,1206,9777.0,0,0,5,32.6,"B,C,W",1
2774,2757,1338,9776.0,0,0,5,42.75,"B,C,W",1
2773,2756,716,2900.0,0,0,5,38.6,"B,C,W",1
2736,1082,2188,2863.0,0,0,4,45.9,"B,C,W",1
2717,2725,2726,9766.0,0,0,4,46.7,"B,C,W",1
2678,120,1919,2801.0,0,0,5,38.3,"B,C,W",1
2677,120,2383,2800.0,0,0,5,44.8,"B,C,W",1
2663,119,2697,2786.0,0,0,5,38.7,"B,C,W",1
2662,119,2516,2785.0,0,0,5,44.0,"B,C,W",1
2641,927,1803,2764.0,0,0,3,64.1,"B,C,W",1
2630,2454,1504,2753.0,0,0,3,56.2,"B,C,W",1
2528,285,1446,2646.0,0,1,1,81.3,"B,C,W",0
2380,1505,2515,2490.0,0,0,3,58.6,"B,C,W",1
2365,1110,1506,2475.0,0,0,5,40.2,"B,C,W",1
2364,1110,2454,2474.0,0,0,5,32.5,"B,C,W",1
2331,1613,2530,2431.0,0,0,5,38.7,"B,C,W",1
2330,1613,2529,2430.0,0,0,5,44.7,"B,C,W",1
2324,2522,2148,9735.0,0,0,5,44.4,"B,C,W",1
2323,2520,2521,9734.0,0,0,5,36.0,"B,C,W",0
2322,926,2519,2422.0,0,0,4,54.0,"B,C,W",1
2312,2514,2515,2412.0,0,0,5,37.1,"B,C,W",1
2311,2514,1763,2411.0,0,0,5,35.1,"B,C,W",1
2290,165,2504,2390.0,0,0,5,34.25,"B,C,W",1
2248,1612,2384,2344.0,0,0,5,43.6,"B,C,W",1
2247,1612,2479,2343.0,0,0,4,50.6,"B,C,W",1
2210,2453,2454,2303.0,0,0,5,44.0,"B,C,W",1
2188,2435,2436,9719.0,0,0,5,34.9,"B,C,W",1
2182,1285,1336,2273.0,0,0,4,45.6,"B,C,W",1
2181,1285,1219,2272.0,0,0,5,38.2,"B,C,W",1
2164,2416,2419,9716.0,0,0,5,30.35,"B,C,W",0
2163,2418,1695,9715.0,0,0,5,34.15,"B,C,W",1
